# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)   0.075 us    |                  kmem_cache_free();
 0)   2.135 us    |                }
 0)               |                remove_vma() {
 0)   0.052 us    |                  _cond_resched();
 0)   0.071 us    |                  kmem_cache_free();
 0)   0.780 us    |                }
 0)               |                remove_vma() {
 0)   0.056 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.202 us    |                    fput();
 0)   0.605 us    |                  }
 0)   0.068 us    |                  kmem_cache_free();
 0)   1.501 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.053 us    |                    fput();
 0)   0.652 us    |                  }
 0)   0.069 us    |                  kmem_cache_free();
 0)   1.671 us    |                }
 0)               |                remove_vma() {
 0)   0.055 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.052 us    |                    fput();
 0)   0.461 us    |                  }
 0)   0.067 us    |                  kmem_cache_free();
 0)   1.489 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)               |                    fput() {
 0)   0.058 us    |                      task_work_add();
 0)   0.360 us    |                    }
 0)   0.763 us    |                  }
 0)   0.070 us    |                  kmem_cache_free();
 0)   1.706 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.164 us    |                    fput();
 0)   0.454 us    |                  }
 0)   0.070 us    |                  kmem_cache_free();
 0)   1.354 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.051 us    |                    fput();
 0)   0.457 us    |                  }
 0)   0.068 us    |                  kmem_cache_free();
 0)   1.371 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.053 us    |                    fput();
 0)   0.360 us    |                  }
 0)   0.071 us    |                  kmem_cache_free();
 0)   1.344 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)               |                    fput() {
 0)   0.054 us    |                      task_work_add();
 0)   0.356 us    |                    }
 0)   0.647 us    |                  }
 0)   0.068 us    |                  kmem_cache_free();
 0)   1.541 us    |                }
 0)               |                remove_vma() {
 0)   0.055 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.167 us    |                    fput();
 0)   0.471 us    |                  }
 0)   0.070 us    |                  kmem_cache_free();
 0)   1.396 us    |                }
 0)               |                remove_vma() {
 0)   0.052 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.052 us    |                    fput();
 0)   0.356 us    |                  }
 0)               |                  kmem_cache_free() {
 0)               |                    cache_flusharray() {
 0)   0.174 us    |                      _raw_spin_lock();
 0)   2.643 us    |                      free_block();
 0)   3.619 us    |                    }
 0)   3.994 us    |                  }
 0)   5.192 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.055 us    |                    fput();
 0)   0.344 us    |                  }
 0)   0.074 us    |                  kmem_cache_free();
 0)   1.416 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)               |                    fput() {
 0)   0.053 us    |                      task_work_add();
 0)   0.357 us    |                    }
 0)   0.646 us    |                  }
 0)   0.067 us    |                  kmem_cache_free();
 0)   1.543 us    |                }
 0)               |                remove_vma() {
 0)   0.055 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.054 us    |                    fput();
 0)   0.344 us    |                  }
 0)   0.092 us    |                  kmem_cache_free();
 0)   1.411 us    |                }
 0)               |                remove_vma() {
 0)   0.066 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)               |                    fput() {
 0)   0.073 us    |                      task_work_add();
 0)   0.500 us    |                    }
 0)   0.892 us    |                  }
 0)   0.089 us    |                  kmem_cache_free();
 0)   2.194 us    |                }
 0)               |                remove_vma() {
 0)   0.059 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)               |                    fput() {
 0)   0.051 us    |                      task_work_add();
 0)   0.504 us    |                    }
 0)   0.803 us    |                  }
 0)   0.071 us    |                  kmem_cache_free();
 0)   1.961 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)   0.069 us    |                  kmem_cache_free();
 0)   0.669 us    |                }
 0)               |                remove_vma() {
 0)   0.052 us    |                  _cond_resched();
 0)   0.067 us    |                  kmem_cache_free();
 0)   0.667 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.052 us    |                    fput();
 0)   0.356 us    |                  }
 0)   0.071 us    |                  kmem_cache_free();
 0)   1.393 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)               |                    fput() {
 0)   0.052 us    |                      task_work_add();
 0)   0.438 us    |                    }
 0)   0.725 us    |                  }
 0)   0.072 us    |                  kmem_cache_free();
 0)   1.699 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)   0.069 us    |                  kmem_cache_free();
 0)   0.662 us    |                }
 0)               |                remove_vma() {
 0)   0.052 us    |                  _cond_resched();
 0)   0.069 us    |                  kmem_cache_free();
 0)   0.695 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)   0.053 us    |                  special_mapping_close();
 0)   0.071 us    |                  kmem_cache_free();
 0)   1.291 us    |                }
 0)               |                remove_vma() {
 0)   0.055 us    |                  _cond_resched();
 0)   0.053 us    |                  special_mapping_close();
 0)   0.069 us    |                  kmem_cache_free();
 0)   1.265 us    |                }
 0) ! 1668.700 us |              } /* exit_mmap */
 0)               |              set_mm_exe_file() {
 0)               |                fput() {
 0)   0.055 us    |                  task_work_add();
 0)   0.362 us    |                }
 0)   0.722 us    |              }
 0)   0.054 us    |              module_put();
 0)               |              __mmdrop() {
 0)               |                pgd_free() {
 0)   0.059 us    |                  _raw_spin_lock();
 0)               |                  free_pages() {
 0)               |                    free_pages.part.70() {
 0)               |                      __free_pages() {
 0)               |                        free_hot_cold_page() {
 0)   0.071 us    |                          free_pages_prepare();
 0)   0.054 us    |                          get_pfnblock_flags_mask();
 0)   0.697 us    |                        }
 0)   0.980 us    |                      }
 0)   1.280 us    |                    }
 0)   1.576 us    |                  }
 0)   2.309 us    |                }
 0)   0.061 us    |                destroy_context();
 0)   0.088 us    |                kmem_cache_free();
 0)   3.268 us    |              }
 0) ! 1675.381 us |            } /* mmput */
 0)               |            flush_thread() {
 0)               |              flush_ptrace_hw_breakpoint() {
 0)   0.050 us    |                unregister_hw_breakpoint();
 0)   0.052 us    |                unregister_hw_breakpoint();
 0)   0.051 us    |                unregister_hw_breakpoint();
 0)   0.054 us    |                unregister_hw_breakpoint();
 0)   1.276 us    |              }
 0)   1.970 us    |            }
 0) ! 1684.258 us |          } /* flush_old_exec */
 0)   0.081 us    |          set_personality_64bit();
 0)               |          setup_new_exec() {
 0)               |            arch_pick_mmap_layout() {
 0)               |              mmap_rnd() {
 0)   0.171 us    |                get_random_int();
 0)   0.503 us    |              }
 0)   0.063 us    |              stack_maxrandom_size();
 0)   0.066 us    |              stack_maxrandom_size();
 0)               |              mmap_rnd() {
 0)   0.162 us    |                get_random_int();
 0)   0.448 us    |              }
 0)   2.524 us    |            }
 0)   0.057 us    |            set_dumpable();
 0)               |            __set_task_comm() {
 0)   0.059 us    |              _raw_spin_lock();
 0)   0.589 us    |            }
 0)               |            would_dump() {
 0)               |              inode_permission() {
 0)               |                __inode_permission() {
 0)               |                  generic_permission() {
 0)               |                    get_acl() {
 0)   0.062 us    |                      get_cached_acl();
 0)   0.360 us    |                    }
 0)               |                    in_group_p() {
 0)   0.095 us    |                      groups_search();
 0)   0.407 us    |                    }
 0)   1.379 us    |                  }
 0)               |                  security_inode_permission() {
 0)   0.052 us    |                    cap_inode_permission();
 0)   0.397 us    |                  }
 0)   2.321 us    |                }
 0)   2.612 us    |              }
 0)   2.909 us    |            }
 0)   0.551 us    |            flush_signal_handlers();
 0)               |            do_close_on_exec() {
 0)   0.063 us    |              _raw_spin_lock();
 0)               |              filp_close() {
