# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)   0.053 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.054 us    |      vmacache_find();
 0)   0.344 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_cow_fault() {
 0)               |        anon_vma_prepare() {
 0)   0.056 us    |          _cond_resched();
 0)   0.472 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.056 us    |          get_vma_policy();
 0)   0.051 us    |          policy_nodemask();
 0)   0.054 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.054 us    |            _cond_resched();
 0)   0.053 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.054 us    |              next_zones_zonelist();
 0)   0.052 us    |              next_zones_zonelist();
 0)   0.054 us    |              __zone_watermark_ok();
 0)   0.050 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.054 us    |                __inc_zone_state();
 0)   0.637 us    |              }
 0)   2.226 us    |            }
 0)   3.217 us    |          }
 0)   4.718 us    |        }
 0)   0.054 us    |        mem_cgroup_charge_anon();
 0)               |        __do_fault() {
 0)               |          filemap_fault() {
 0)               |            pagecache_get_page_fixed() {
 0)   0.063 us    |              find_get_entry();
 0)   0.354 us    |            }
 0)   0.053 us    |            _cond_resched();
 0)   0.954 us    |          }
 0)   1.251 us    |        }
 0)   0.053 us    |        _raw_spin_lock();
 0)               |        do_set_pte() {
 0)   0.052 us    |          add_mm_counter_fast();
 0)               |          page_add_new_anon_rmap() {
 0)   0.052 us    |            __mod_zone_page_state();
 0)               |            lru_cache_add() {
 0)   0.054 us    |              __lru_cache_add();
 0)   0.333 us    |            }
 0)   0.917 us    |          }
 0)   1.508 us    |        }
 0)               |        unlock_page() {
 0)   0.052 us    |          page_waitqueue();
 0)   0.183 us    |          __wake_up_bit();
 0)   0.757 us    |        }
 0)   0.050 us    |        put_page();
 0) + 12.089 us   |      }
 0) + 12.402 us   |    }
 0)   0.055 us    |    up_read();
 0) + 14.635 us   |  }
 0)               |  __do_page_fault() {
 0)   0.054 us    |    down_read_trylock();
 0)   0.054 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.053 us    |      vmacache_find();
 0)   0.345 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_cow_fault() {
 0)               |        anon_vma_prepare() {
 0)   0.052 us    |          _cond_resched();
 0)   0.346 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.056 us    |          get_vma_policy();
 0)   0.051 us    |          policy_nodemask();
 0)   0.051 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.053 us    |            _cond_resched();
 0)   0.053 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.054 us    |              next_zones_zonelist();
 0)   0.103 us    |              next_zones_zonelist();
 0)   0.051 us    |              __zone_watermark_ok();
 0)   0.052 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.123 us    |                __inc_zone_state();
 0)   0.054 us    |                __inc_zone_state();
 0)   0.787 us    |              }
 0)   2.751 us    |            }
 0)   4.111 us    |          }
 0)   5.345 us    |        }
 0)   0.054 us    |        mem_cgroup_charge_anon();
 0)               |        __do_fault() {
 0)               |          filemap_fault() {
 0)               |            pagecache_get_page_fixed() {
 0)   0.063 us    |              find_get_entry();
 0)   0.359 us    |            }
 0)   0.052 us    |            _cond_resched();
 0)   0.957 us    |          }
 0)   1.257 us    |        }
 0)   0.054 us    |        _raw_spin_lock();
 0)               |        do_set_pte() {
 0)   0.053 us    |          add_mm_counter_fast();
 0)               |          page_add_new_anon_rmap() {
 0)   0.050 us    |            __mod_zone_page_state();
 0)               |            lru_cache_add() {
 0)   0.053 us    |              __lru_cache_add();
 0)   0.332 us    |            }
 0)   0.912 us    |          }
 0)   1.504 us    |        }
 0)               |        unlock_page() {
 0)   0.055 us    |          page_waitqueue();
 0)   0.172 us    |          __wake_up_bit();
 0)   0.752 us    |        }
 0)   0.052 us    |        put_page();
 0) + 12.806 us   |      }
 0) + 13.121 us   |    }
 0)   0.052 us    |    up_read();
 0) + 14.914 us   |  }
 0)               |  __do_page_fault() {
 0)   0.054 us    |    down_read_trylock();
 0)   0.054 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.054 us    |      vmacache_find();
 0)   0.349 us    |    }
 0)               |    handle_mm_fault() {
 0)   0.053 us    |      _raw_spin_lock();
 0)               |      do_wp_page() {
 0)   0.056 us    |        vm_normal_page();
 0)               |        anon_vma_prepare() {
 0)   0.054 us    |          _cond_resched();
 0)   0.366 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.054 us    |          get_vma_policy();
 0)   0.053 us    |          policy_nodemask();
 0)   0.066 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.058 us    |            _cond_resched();
 0)   0.054 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.054 us    |              next_zones_zonelist();
 0)   0.053 us    |              next_zones_zonelist();
 0)   0.053 us    |              __zone_watermark_ok();
 0)   0.054 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.056 us    |                __inc_zone_state();
 0)   0.962 us    |              }
 0)   2.817 us    |            }
 0)   3.744 us    |          }
 0)   5.077 us    |        }
 0)   0.054 us    |        mem_cgroup_charge_anon();
 0)   0.052 us    |        _raw_spin_lock();
 0)   0.053 us    |        add_mm_counter_fast();
 0)   0.051 us    |        add_mm_counter_fast();
 0)               |        ptep_clear_flush() {
 0)   0.464 us    |          flush_tlb_page();
 0)   0.943 us    |        }
 0)               |        page_add_new_anon_rmap() {
 0)   0.049 us    |          __mod_zone_page_state();
 0)               |          lru_cache_add() {
 0)               |            __lru_cache_add() {
 0)               |              pagevec_lru_move_fn() {
 0)   0.052 us    |                _raw_spin_lock_irqsave();
 0)   0.051 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.062 us    |                  mem_cgroup_update_lru_size();
 0)   0.053 us    |                  __mod_zone_page_state();
 0)   0.690 us    |                }
 0)   0.054 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.051 us    |                  mem_cgroup_update_lru_size();
 0)   0.053 us    |                  __mod_zone_page_state();
 0)   0.656 us    |                }
 0)   0.055 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.053 us    |                  mem_cgroup_update_lru_size();
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   0.662 us    |                }
 0)   0.052 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.052 us    |                  mem_cgroup_update_lru_size();
 0)   0.051 us    |                  __mod_zone_page_state();
 0)   0.665 us    |                }
 0)   0.052 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.053 us    |                  mem_cgroup_update_lru_size();
 0)   0.054 us    |                  __mod_zone_page_state();
 0)   0.676 us    |                }
 0)   0.052 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.051 us    |                  mem_cgroup_update_lru_size();
 0)   0.049 us    |                  __mod_zone_page_state();
 0)   0.674 us    |                }
 0)   0.051 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.053 us    |                  mem_cgroup_update_lru_size();
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   0.652 us    |                }
 0)   0.051 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.053 us    |                  mem_cgroup_update_lru_size();
 0)   0.050 us    |                  __mod_zone_page_state();
 0)   0.649 us    |                }
 0)   0.051 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.052 us    |                  mem_cgroup_update_lru_size();
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   0.655 us    |                }
 0)   0.054 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.052 us    |                  mem_cgroup_update_lru_size();
 0)   0.070 us    |                  __mod_zone_page_state();
 0)   1.074 us    |                }
 0)   0.052 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.053 us    |                  mem_cgroup_update_lru_size();
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   0.662 us    |                }
 0)   0.051 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.050 us    |                  mem_cgroup_update_lru_size();
 0)   0.053 us    |                  __mod_zone_page_state();
 0)   0.650 us    |                }
 0)   0.054 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.050 us    |                  mem_cgroup_update_lru_size();
 0)   0.055 us    |                  __mod_zone_page_state();
 0)   0.656 us    |                }
 0)   0.051 us    |                mem_cgroup_page_lruvec();
 0)               |                __pagevec_lru_add_fn() {
 0)   0.054 us    |                  mem_cgroup_update_lru_size();
 0)   0.053 us    |                  __mod_zone_page_state();
 0)   0.652 us    |                }
 0)   0.060 us    |                _raw_spin_unlock_irqrestore();
 0)               |                release_pages() {
 0)   0.055 us    |                  free_hot_cold_page_list();
 0)   0.413 us    |                }
 0) + 18.770 us   |              }
 0) + 19.126 us   |            }
 0) + 19.406 us   |          }
 0) + 20.086 us   |        }
 0)               |        page_remove_rmap() {
 0)   0.053 us    |          PageHuge();
 0)               |          __dec_zone_page_state() {
 0)   0.056 us    |            __dec_zone_state();
 0)   0.358 us    |          }
 0)               |          mem_cgroup_update_page_stat() {
 0)   0.058 us    |            lookup_page_cgroup();
 0)   0.351 us    |          }
 0)   1.552 us    |        }
 0)   0.049 us    |        put_page();
 0)   0.054 us    |        put_page();
 0) + 32.796 us   |      }
 0) + 33.425 us   |    }
 0)   0.051 us    |    up_read();
 0) + 35.232 us   |  }
 0)               |  __do_page_fault() {
 0)   0.053 us    |    down_read_trylock();
 0)   0.051 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.054 us    |      vmacache_find();
 0)   0.343 us    |    }
 0)               |    handle_mm_fault() {
 0)   0.057 us    |      _raw_spin_lock();
 0)               |      do_wp_page() {
 0)   0.059 us    |        vm_normal_page();
 0)               |        anon_vma_prepare() {
 0)   0.052 us    |          _cond_resched();
 0)   0.342 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.056 us    |          get_vma_policy();
 0)   0.053 us    |          policy_nodemask();
 0)   0.054 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.055 us    |            _cond_resched();
 0)   0.055 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.054 us    |              next_zones_zonelist();
 0)   0.052 us    |              next_zones_zonelist();
 0)   0.054 us    |              __zone_watermark_ok();
 0)   0.053 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.053 us    |                __inc_zone_state();
 0)   0.644 us    |              }
 0)   2.578 us    |            }
 0)   3.582 us    |          }
 0)   4.767 us    |        }
 0)   0.054 us    |        mem_cgroup_charge_anon();
 0)   0.054 us    |        _raw_spin_lock();
 0)   0.053 us    |        add_mm_counter_fast();
 0)   0.055 us    |        add_mm_counter_fast();
 0)               |        ptep_clear_flush() {
 0)   0.307 us    |          flush_tlb_page();
 0)   0.746 us    |        }
 0)               |        page_add_new_anon_rmap() {
 0)   0.050 us    |          __mod_zone_page_state();
 0)               |          lru_cache_add() {
 0)   0.068 us    |            __lru_cache_add();
 0)   0.348 us    |          }
 0)   0.983 us    |        }
 0)               |        page_remove_rmap() {
 0)   0.050 us    |          PageHuge();
 0)               |          __dec_zone_page_state() {
 0)   0.057 us    |            __dec_zone_state();
 0)   0.337 us    |          }
 0)               |          mem_cgroup_update_page_stat() {
 0)   0.056 us    |            lookup_page_cgroup();
 0)   0.345 us    |          }
 0)   1.537 us    |        }
 0)   0.052 us    |        put_page();
 0)   0.056 us    |        put_page();
 0) + 12.587 us   |      }
 0) + 13.347 us   |    }
 0)   0.054 us    |    up_read();
 0) + 15.125 us   |  }
 0)               |  __do_page_fault() {
 0)   0.054 us    |    down_read_trylock();
 0)   0.050 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.052 us    |      vmacache_find();
 0)   0.343 us    |    }
 0)               |    handle_mm_fault() {
 0)   0.052 us    |      _raw_spin_lock();
 0)               |      do_wp_page() {
 0)   0.055 us    |        vm_normal_page();
 0)               |        anon_vma_prepare() {
 0)   0.052 us    |          _cond_resched();
 0)   0.345 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.057 us    |          get_vma_policy();
 0)   0.052 us    |          policy_nodemask();
 0)   0.055 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.052 us    |            _cond_resched();
 0)   0.052 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.054 us    |              next_zones_zonelist();
 0)   0.054 us    |              next_zones_zonelist();
 0)   0.054 us    |              __zone_watermark_ok();
 0)   0.051 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.089 us    |                __inc_zone_state();
 0)   0.067 us    |                __inc_zone_state();
 0)   0.683 us    |              }
 0)   2.256 us    |            }
 0)   3.510 us    |          }
 0)   4.695 us    |        }
 0)   0.053 us    |        mem_cgroup_charge_anon();
 0)   0.051 us    |        _raw_spin_lock();
 0)   0.054 us    |        add_mm_counter_fast();
 0)   0.052 us    |        add_mm_counter_fast();
 0)               |        ptep_clear_flush() {
 0)   0.455 us    |          flush_tlb_page();
 0)   0.750 us    |        }
 0)               |        page_add_new_anon_rmap() {
 0)   0.052 us    |          __mod_zone_page_state();
 0)               |          lru_cache_add() {
 0)   0.054 us    |            __lru_cache_add();
 0)   0.331 us    |          }
 0)   0.937 us    |        }
 0)               |        page_remove_rmap() {
 0)   0.055 us    |          PageHuge();
 0)               |          __dec_zone_page_state() {
 0)   0.054 us    |            __dec_zone_state();
 0)   0.335 us    |          }
 0)               |          mem_cgroup_update_page_stat() {
 0)   0.053 us    |            lookup_page_cgroup();
 0)   0.345 us    |          }
 0)   1.511 us    |        }
 0)   0.055 us    |        put_page();
 0)   0.054 us    |        put_page();
 0) + 12.653 us   |      }
 0) + 13.374 us   |    }
 0)   0.054 us    |    up_read();
 0) + 15.146 us   |  }
 0)               |  __do_page_fault() {
 0)   0.052 us    |    down_read_trylock();
 0)   0.053 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.151 us    |      vmacache_find();
 0)   0.052 us    |      vmacache_update();
 0)   0.966 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.075 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.054 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.359 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.078 us    |                lookup_page_cgroup();
 0)   0.366 us    |              }
 0)   1.280 us    |            }
 0)   1.870 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.163 us    |            __wake_up_bit();
 0)   0.743 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.055 us    |                __inc_zone_state();
 0)   0.336 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.052 us    |                lookup_page_cgroup();
 0)   0.345 us    |              }
 0)   1.227 us    |            }
 0)   1.818 us    |          }
 0)               |          unlock_page() {
 0)   0.056 us    |            page_waitqueue();
 0)   0.053 us    |            __wake_up_bit();
 0)   0.629 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.109 us    |                __inc_zone_state();
 0)   0.419 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.050 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.365 us    |            }
 0)   2.314 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.256 us    |            __wake_up_bit();
 0)   0.832 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.333 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.344 us    |              }
 0)   1.226 us    |            }
 0)   1.811 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.165 us    |            __wake_up_bit();
 0)   0.743 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.358 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.245 us    |            }
 0)   1.834 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.054 us    |            __wake_up_bit();
 0)   0.634 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.337 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.051 us    |                lookup_page_cgroup();
 0)   0.342 us    |              }
 0)   1.214 us    |            }
 0)   1.805 us    |          }
 0)               |          unlock_page() {
 0)   0.051 us    |            page_waitqueue();
 0)   0.053 us    |            __wake_up_bit();
 0)   0.624 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.357 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.051 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.230 us    |            }
 0)   1.816 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.053 us    |            __wake_up_bit();
 0)   0.628 us    |          }
 0)               |          do_set_pte() {
 0)   0.054 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.360 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.055 us    |                lookup_page_cgroup();
 0)   0.500 us    |              }
 0)   1.815 us    |            }
 0)   2.440 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.059 us    |            __wake_up_bit();
 0)   0.637 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.364 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.343 us    |              }
 0)   1.240 us    |            }
 0)   2.176 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.057 us    |            __wake_up_bit();
 0)   0.633 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.052 us    |                __inc_zone_state();
 0)   0.334 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.052 us    |                lookup_page_cgroup();
 0)   0.343 us    |              }
 0)   1.205 us    |            }
 0)   1.791 us    |          }
 0)               |          unlock_page() {
 0)   0.056 us    |            page_waitqueue();
 0)   0.058 us    |            __wake_up_bit();
 0)   0.661 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.055 us    |                __inc_zone_state();
 0)   0.337 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.211 us    |            }
 0)   1.796 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.059 us    |            __wake_up_bit();
 0)   0.636 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.356 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.052 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.223 us    |            }
 0)   1.810 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.172 us    |            __wake_up_bit();
 0)   0.748 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.863 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.342 us    |              }
 0)   1.739 us    |            }
 0)   2.326 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.054 us    |            __wake_up_bit();
 0)   0.653 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.335 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.342 us    |              }
 0)   1.210 us    |            }
 0)   1.795 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.167 us    |            __wake_up_bit();
 0)   0.743 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.357 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.343 us    |              }
 0)   1.232 us    |            }
 0)   1.818 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.156 us    |            __wake_up_bit();
 0)   0.734 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.069 us    |                __inc_zone_state();
 0)   0.350 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.051 us    |                lookup_page_cgroup();
 0)   0.375 us    |              }
 0)   1.260 us    |            }
 0)   1.848 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.165 us    |            __wake_up_bit();
 0)   0.742 us    |          }
 0) + 50.894 us   |        }
 0) + 51.572 us   |      }
 0) + 51.898 us   |    }
 0)   0.053 us    |    up_read();
 0) + 54.312 us   |  }
 0)               |  __do_page_fault() {
 0)   0.054 us    |    down_read_trylock();
 0)   0.054 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.134 us    |      vmacache_find();
 0)   0.420 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.053 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.050 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.052 us    |                __inc_zone_state();
 0)   0.363 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.080 us    |                lookup_page_cgroup();
 0)   0.369 us    |              }
 0)   1.764 us    |            }
 0)   2.437 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.173 us    |            __wake_up_bit();
 0)   0.750 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.052 us    |                __inc_zone_state();
 0)   0.336 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.342 us    |              }
 0)   1.340 us    |            }
 0)   1.984 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.058 us    |            __wake_up_bit();
 0)   6.087 us    |          }
 0)               |          do_set_pte() {
 0)   0.054 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.052 us    |                __inc_zone_state();
 0)   0.334 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.051 us    |                lookup_page_cgroup();
 0)   0.341 us    |              }
 0)   1.219 us    |            }
 0)   1.815 us    |          }
 0)               |          unlock_page() {
 0)   0.357 us    |            page_waitqueue();
 0)   0.051 us    |            __wake_up_bit();
 0)   0.929 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.055 us    |                __inc_zone_state();
 0)   0.363 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.051 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.592 us    |            }
 0)   2.266 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.166 us    |            __wake_up_bit();
 0)   0.743 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.338 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.049 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.207 us    |            }
 0)   1.798 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.157 us    |            __wake_up_bit();
 0)   0.732 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.360 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.054 us    |                lookup_page_cgroup();
 0)   0.548 us    |              }
 0)   1.441 us    |            }
 0)   2.095 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.166 us    |            __wake_up_bit();
 0)   0.929 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.055 us    |                __inc_zone_state();
 0)   0.418 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.054 us    |                lookup_page_cgroup();
 0)   0.345 us    |              }
 0)   1.303 us    |            }
 0)   1.957 us    |          }
