# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.054 us    |          __get_vma_policy();
  0)   0.052 us    |          get_task_policy.part.23();
  0)   0.681 us    |        }
  0)   0.053 us    |        policy_nodemask();
  0)   0.059 us    |        policy_zonelist();
  0)               |        __alloc_pages_nodemask() {
  0)   0.061 us    |          next_zones_zonelist();
  0)               |          get_page_from_freelist() {
  0)   0.058 us    |            next_zones_zonelist();
  0)   0.054 us    |            __zone_watermark_ok();
  0)   0.055 us    |            __mod_zone_page_state();
  0)               |            zone_statistics() {
  0)   0.058 us    |              __inc_zone_state();
  0)   0.053 us    |              __inc_zone_state();
  0)   0.707 us    |            }
  0)   2.467 us    |          }
  0)   3.240 us    |        }
  0)   5.127 us    |      }
  0)               |      mem_cgroup_try_charge() {
  0)   0.058 us    |        get_mem_cgroup_from_mm();
  0)   0.050 us    |        try_charge();
  0)   0.668 us    |      }
  0)   0.052 us    |      _raw_spin_lock();
  0)   0.052 us    |      add_mm_counter_fast();
  0)               |      page_add_new_anon_rmap() {
  0)   0.054 us    |        __mod_zone_page_state();
  0)   0.060 us    |        __page_set_anon_rmap();
  0)   0.683 us    |      }
  0)               |      mem_cgroup_commit_charge() {
  0)   0.051 us    |        commit_charge();
  0)   0.055 us    |        mem_cgroup_charge_statistics.isra.19();
  0)   0.060 us    |        memcg_check_events();
  0)   0.987 us    |      }
  0)               |      lru_cache_add_active_or_unevictable() {
  0)   0.054 us    |        __lru_cache_add();
  0)   0.365 us    |      }
  0)   0.054 us    |      _raw_spin_unlock();
  0) + 14.295 us   |    }
  0)   0.052 us    |    up_read();
  0) + 16.275 us   |  }
  0)               |  __do_page_fault() {
  0)   0.052 us    |    down_read_trylock();
  0)               |    find_vma() {
  0)   0.080 us    |      vmacache_find();
  0)   0.058 us    |      vmacache_update();
  0)   0.726 us    |    }
  0)               |    handle_mm_fault() {
  0)   0.059 us    |      __mem_cgroup_count_vm_event();
  0)   0.050 us    |      _raw_spin_lock();
  0)               |      filemap_map_pages() {
  0)               |        do_set_pte() {
  0)   0.054 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.054 us    |            mem_cgroup_begin_page_stat();
  0)   0.096 us    |            mem_cgroup_end_page_stat();
  0)   0.819 us    |          }
  0)   1.503 us    |        }
  0)               |        unlock_page() {
  0)   0.412 us    |          __wake_up_bit();
  0)   0.733 us    |        }
  0)               |        do_set_pte() {
  0)   0.058 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.053 us    |            mem_cgroup_begin_page_stat();
  0)   0.058 us    |            mem_cgroup_end_page_stat();
  0)   0.847 us    |          }
  0)   1.503 us    |        }
  0)               |        unlock_page() {
  0)   0.133 us    |          __wake_up_bit();
  0)   0.447 us    |        }
  0)               |        do_set_pte() {
  0)   0.054 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.061 us    |            mem_cgroup_begin_page_stat();
  0)   0.057 us    |            mem_cgroup_end_page_stat();
  0)   0.665 us    |          }
  0)   1.292 us    |        }
  0)               |        unlock_page() {
  0)   0.053 us    |          __wake_up_bit();
  0)   0.369 us    |        }
  0)               |        do_set_pte() {
  0)   0.054 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.055 us    |            mem_cgroup_begin_page_stat();
  0)   0.051 us    |            mem_cgroup_end_page_stat();
  0)   0.695 us    |          }
  0)   1.328 us    |        }
  0)               |        unlock_page() {
  0)   0.110 us    |          __wake_up_bit();
  0)   0.426 us    |        }
  0)               |        do_set_pte() {
  0)   0.060 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.054 us    |            mem_cgroup_begin_page_stat();
  0)   0.052 us    |            mem_cgroup_end_page_stat();
  0)   0.673 us    |          }
  0)   1.304 us    |        }
  0)               |        unlock_page() {
  0)   0.118 us    |          __wake_up_bit();
  0)   0.434 us    |        }
  0)               |        do_set_pte() {
  0)   0.054 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.054 us    |            mem_cgroup_begin_page_stat();
  0)   0.052 us    |            mem_cgroup_end_page_stat();
  0)   0.675 us    |          }
  0)   1.308 us    |        }
  0)               |        unlock_page() {
  0)   0.120 us    |          __wake_up_bit();
  0)   0.462 us    |        }
  0) + 14.683 us   |      }
  0)   0.059 us    |      _raw_spin_unlock();
  0) + 16.016 us   |    }
  0)   0.058 us    |    up_read();
  0) + 17.957 us   |  }
  0)               |  SyS_access() {
  0)               |    prepare_creds() {
  0)   0.092 us    |      kmem_cache_alloc();
  0)               |      security_prepare_creds() {
  0)   0.053 us    |        cap_cred_prepare();
  0)   0.409 us    |      }
  0)   1.188 us    |    }
  0)               |    make_kuid() {
  0)   0.054 us    |      map_id_down();
  0)   0.570 us    |    }
  0)   0.053 us    |    override_creds();
  0)               |    user_path_at() {
  0)               |      user_path_at_empty() {
  0)               |        getname_flags() {
  0)   0.099 us    |          kmem_cache_alloc();
  0)   0.529 us    |        }
  0)               |        filename_lookup() {
  0)               |          path_lookupat() {
  0)               |            path_init() {
  0)               |              link_path_walk() {
  0)               |                inode_permission() {
  0)               |                  __inode_permission() {
  0)   0.055 us    |                    generic_permission();
  0)               |                    security_inode_permission() {
  0)   0.052 us    |                      cap_inode_permission();
  0)   0.396 us    |                    }
  0)   1.084 us    |                  }
  0)   1.420 us    |                }
  0)               |                lookup_fast() {
  0)   0.397 us    |                  __d_lookup_rcu();
  0)   0.745 us    |                }
  0)               |                inode_permission() {
  0)               |                  __inode_permission() {
  0)   0.055 us    |                    generic_permission();
  0)               |                    security_inode_permission() {
