# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |          unlock_page() {
 0)   0.075 us    |            page_waitqueue();
 0)   0.129 us    |            __wake_up_bit();
 0)   1.080 us    |          }
 0)               |          do_set_pte() {
 0)   0.060 us    |            add_mm_counter_fast();
 0)   0.060 us    |            page_add_file_rmap();
 0)   0.987 us    |          }
 0)               |          unlock_page() {
 0)   0.061 us    |            page_waitqueue();
 0)   0.145 us    |            __wake_up_bit();
 0)   0.988 us    |          }
 0)               |          do_set_pte() {
 0)   0.072 us    |            add_mm_counter_fast();
 0)   0.061 us    |            page_add_file_rmap();
 0)   0.959 us    |          }
 0)               |          unlock_page() {
 0)   0.080 us    |            page_waitqueue();
 0)   0.127 us    |            __wake_up_bit();
 0)   0.993 us    |          }
 0)               |          do_set_pte() {
 0)   0.063 us    |            add_mm_counter_fast();
 0)   0.075 us    |            page_add_file_rmap();
 0)   0.953 us    |          }
 0)               |          unlock_page() {
 0)   0.064 us    |            page_waitqueue();
 0)   0.120 us    |            __wake_up_bit();
 0)   0.928 us    |          }
 0)               |          do_set_pte() {
 0)   0.067 us    |            add_mm_counter_fast();
 0)   0.093 us    |            page_add_file_rmap();
 0)   0.998 us    |          }
 0)               |          unlock_page() {
 0)   0.062 us    |            page_waitqueue();
 0)   0.130 us    |            __wake_up_bit();
 0)   0.955 us    |          }
 0)               |          do_set_pte() {
 0)   0.069 us    |            add_mm_counter_fast();
 0)   0.066 us    |            page_add_file_rmap();
 0)   0.974 us    |          }
 0)               |          unlock_page() {
 0)   0.072 us    |            page_waitqueue();
 0)   0.133 us    |            __wake_up_bit();
 0)   1.115 us    |          }
 0) + 38.501 us   |        }
 0) + 39.257 us   |      }
 0) + 39.802 us   |    }
 0)   0.069 us    |    up_read();
 0) + 41.796 us   |  }
 0)               |  __do_page_fault() {
 0)   0.077 us    |    down_read_trylock();
 0)   0.067 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.106 us    |      vmacache_find();
 0)   0.637 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.078 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.077 us    |            add_mm_counter_fast();
 0)   0.085 us    |            page_add_file_rmap();
 0)   1.055 us    |          }
 0)               |          unlock_page() {
 0)   0.081 us    |            page_waitqueue();
 0)   0.073 us    |            __wake_up_bit();
 0)   1.031 us    |          }
 0)               |          do_set_pte() {
 0)   0.084 us    |            add_mm_counter_fast();
 0)   0.073 us    |            page_add_file_rmap();
 0)   1.083 us    |          }
 0)               |          unlock_page() {
 0)   0.078 us    |            page_waitqueue();
 0)   0.069 us    |            __wake_up_bit();
 0)   1.100 us    |          }
 0)               |          do_set_pte() {
 0)   0.072 us    |            add_mm_counter_fast();
 0)   0.077 us    |            page_add_file_rmap();
 0)   1.123 us    |          }
